"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Barbados","BRB","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0003","0.0004","0.0063","0.0062","0.0081","0.0061","0.0252","0.0202","0.0215","0.0204","0.0165","0.0165","0.0134","0.0135","0.0157","0.0164","0.0028","0.0017","0.0021","0.0018","0.0018","0.0013","0.0014","0.0054","0.0053","0.0053","0.0057","0.0053","0.0013","0.0014","0.0007","0.0006","0.0006","0.0011","0.0011","0.001","0.0007","0.0007","0.0006","0.0007","",
"Brunei Darussalam","BRN","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","1.6034","1.4487","1.7996","2.2616","2.3341","2.4194","2.8172","2.911","2.998","2.6171","3.1172","2.419","2.6269","2.7876","2.6271","2.5032","2.275","2.0996","2.324","2.2036","2.4429","2.9206","3.1436","2.9958","2.8253","2.9812","3.0973","2.9991","2.3663","2.8182","2.901","2.6448","2.1385","2.5776","2.3088","2.1246","2.6991","2.4713","2.7699","2.7407","2.7622","3.1887","2.6408","3.0271","3.32","2.992","3.4173","3.1797","2.8797","2.2029","3.6073","3.4711","3.2001","3.2444","",
"Bhutan","BTN","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001","0.0003","0.0004","0.0004","0.0003","0.0002","0.0001","0.0001","0.0005","0.0008","0.0008","0.0006","0.0004","0.0008","0.0009","0.0008","0.0008","0.0013","0.0018","0.0014","0.0015","0.0013","0.0013","0.0014","0.0018","0.0025","0.0026","0.0027","0.0025","0.0021","0.002","0.002","",
"Botswana","BWA","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0","0","0.0001","0.0002","0.0003","0.0006","0.002","0.0026","0.0028","0.0031","0.0033","0.0034","0.0037","0.0035","0.0035","0.0039","0.0043","0.0043","0.0054","0.0059","0.007","0.0069","0.008","0.0079","0.008","0.0079","0.0067","0.0069","0.0082","0.0083","0.0084","0.0082","0.0084","0.0073","0.0081","0.0087","0.0085","0.0073","0.008","0.0065","0.0087","0.007","0.013","0.0132","0.0151","0.0184","0.0166","0.0196","0.0219","0.0186","0.0167","0.0187","0.0228","0.0234","",
"Central African Republic","CAF","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.0013","0.0013","0.0013","0.0013","0.0015","0.0013","0.0013","0.0013","0.0014","0.0016","0.0018","0.0008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Canada","CAN","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","37.3903","38.0378","37.5014","39.9855","37.0502","37.4652","36.0287","37.1841","40.2656","37.3063","37.134","34.5642","33.0489","31.7442","35.6952","38.2214","40.6096","40.2654","46.3747","44.1128","45.6438","45.2319","45.588","47.379","49.619","52.3756","54.9207","56.0926","58.538","60.8522","60.936","63.9489","68.8223","72.7081","68.5972","102.0713","103.3706","102.1273","97.2818","99.5011","106.9352","113.005","112.9195","117.1834","120.0245","121.881","120.0612","130.0167","145.29","144.6523","133.5715","137.7086","142.4941","143.2661","",
"Central Europe and the Baltics","CEB","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","59.86","61.619","61.7963","66.4492","50.8001","52.5418","53.0942","54.9724","58.6827","57.4833","61.8864","59.2551","58.2216","60.4286","62.0596","60.374","59.5667","60.4174","57.6983","60.3689","48.5762","40.9084","44.3737","51.1141","54.8512","54.3438","55.7783","57.7463","54.7513","49.4702","47.3731","47.4942","47.8117","49.05","46.6517","44.5637","47.5057","45.8636","42.5687","36.2505","40.6823","40.0855","38.8282","37.9088","38.7506","40.83","38.7656","39.6451","42.315","38.4064","35.6885","35.757","38.5017","38.2035","",
"Switzerland","CHE","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.7153","0.7708","0.6673","0.9288","1.016","0.9125","0.8394","0.7395","0.7274","0.7228","0.7351","0.7008","0.649","0.6387","0.6526","0.638","0.6084","0.5968","0.55","0.457","0.4164","0.5326","0.5428","0.6162","0.7025","0.6873","0.7279","0.7041","0.7179","0.7424","0.6697","0.717","0.7411","0.688","0.9342","0.9719","1.0954","0.9134","1.0127","0.9596","0.9454","0.8749","0.7774","0.9256","0.9588","0.4563","0.401","0.3918","0.407","0.3713","0.3768","0.3285","0.4102","0.3831","",
"Channel Islands","CHI","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","7.294","9.7223","11.0808","11.2992","9.8337","9.9528","11.4099","8.6327","8.469","9.0357","7.9823","5.4922","4.5366","4.3959","4.3057","4.0278","3.4449","3.4529","3.5741","3.7544","3.3698","3.3888","3.5571","3.4082","3.7778","4.2842","4.9551","4.3855","5.1163","5.0853","4.2263","4.2721","4.8021","4.6929","5.3137","4.8446","4.5603","4.5152","5.43","4.5623","2.74","3.4346","3.4838","3.5755","3.3206","2.6506","2.3805","2.3312","2.5048","2.6876","2.3342","2.8915","2.5752","2.4174","",
"China","CHN","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","48.3305","48.3227","51.0425","54.3287","57.6671","63.9158","66.3277","71.1205","87.6587","90.7937","104.8287","96.027","97.5703","99.9765","108.7723","117.5527","126.0595","131.5247","136.8815","170.8155","158.2113","164.4496","162.3855","161.0808","194.5275","190.8461","177.8568","222.2191","207.6996","198.2146","238.0018","234.1644","233.717","288.49","277.2923","286.7419","341.0345","369.1347","377.7082","461.1287","521.2978","541.0429","561.9513","593.1965","541.2585","593.8782","548.2552","611.8307","627.8012","713.5968","690.5232","697.8658","678.1146","706.7156","",
"Cote d'Ivoire","CIV","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.0623","0.0623","0.0592","0.1277","0.0979","0.1038","0.1809","0.1245","0.2138","0.2792","0.2612","0.264","0.273","0.2404","0.2314","0.3086","0.2785","0.2104","0.2011","0.1948","0.1762","0.1824","0.2259","0.2726","0.2861","0.3162","0.5686","0.6294","0.5563","0.6654","0.7149","0.7981","0.949","0.3922","0.4079","0.5888","0.2242","0.2564","0.3464","0.3539","0.3066","0.3392","0.3786","0.3253","0.3303","0.3128","0.2859","0.2665","0.3824","0.4116","0.3935","0.3656","0.3853","0.4005","",
